,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
132229,VCB,20170220,37.6838,37.6838,37.0965,37.1455,1322360
132515,VCB,20170217,37.8757,37.9246,37.4842,37.488,1220700
132826,VCB,20170216,38.369,38.7115,37.6838,37.7817,1359740
133119,VCB,20170215,38.0264,38.4668,37.7817,38.1732,1419820
133428,VCB,20170214,38.0264,38.2711,37.6838,37.8796,1325510
133753,VCB,20170213,38.4668,38.4668,37.8796,38.0264,1490330
134029,VCB,20170210,38.8055,38.8055,38.4629,38.4668,1754030
134351,VCB,20170209,39.0052,39.0541,38.6626,38.8584,1203520
134624,VCB,20170208,38.5647,38.9562,38.2711,38.9073,1792740
134956,VCB,20170207,37.9774,38.4179,37.9285,38.4179,1527190
135244,VCB,20170206,37.8796,38.0753,37.5859,37.8796,1288900
135550,VCB,20170203,38.6626,38.6626,37.8796,37.8796,1546040
135831,VCB,20170202,38.7605,38.7605,38.0753,38.6137,1368580
136135,VCB,20170125,38.0714,38.4629,37.5821,38.4668,1352580
136441,VCB,20170124,37.2433,37.7817,37.1944,37.7817,899030
136751,VCB,20170123,37.537,37.537,37.1455,37.2923,717890
137042,VCB,20170120,37.3902,37.6838,37.1944,37.1944,908930
137342,VCB,20170119,37.5859,37.6838,37.1944,37.1944,521040
137610,VCB,20170118,37.9246,38.3161,37.4842,37.488,1143460
137930,VCB,20170117,36.705,38.32,36.705,38.1243,2340000
138211,VCB,20170116,36.705,36.9986,36.2645,36.5582,641920
