,Close,Volume,Close_off_high,Volatility
10,0.0,0.0,1.0,0.017187500000000022
9,0.006359300476947549,0.0691024228528323,-1.0,0.016
8,0.006359300476947549,0.06700810926163037,0.333333333333349,0.009419152276295155
7,0.02384737678855342,0.6971781357631341,-0.6923076923077092,0.020537124802527604
6,0.027027027027026973,3.852822360519707,0.29411764705883137,0.026153846153846198
5,0.0365659777424483,0.08682964595182097,0.11111111111110406,0.013740458015267262
4,0.02384737678855342,0.023851353363308903,1.0,0.012422360248447159
3,0.014308426073131875,1.0840504620393254,1.0,0.017080745341615036
2,0.007949125596184325,1.1052715163425941,0.6000000000000085,0.015772870662460567
1,0.0015898251192369983,1.088755223376907,1.0,0.015698587127158554
