0.31,0.01,0.33,0.01,0.00,0.00,0.24,1.01,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.88,0.88,0.68,0.33,0.00,0.02,0.00,1.01,0.00,0.40,0.85,0.65,0.44,1
0.36,0.01,0.33,0.01,0.00,0.00,0.24,1.29,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,1.45,1.05,0.62,0.33,0.00,0.02,0.00,1.27,0.00,0.40,0.85,0.32,0.44,1
0.21,0.01,0.33,0.01,0.00,0.00,0.24,0.36,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.39,0.29,0.62,0.00,0.00,0.02,0.00,0.35,0.00,0.40,0.85,0.83,0.44,1
0.23,0.01,0.33,0.01,0.00,0.00,0.24,0.48,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.36,0.43,0.70,0.00,0.00,0.02,0.00,0.46,0.00,0.40,0.85,0.83,0.44,1
0.22,0.01,0.33,0.01,0.00,0.00,0.24,0.43,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.45,0.35,0.65,0.00,0.00,0.02,0.00,0.39,0.00,0.40,0.85,0.83,0.44,1
0.39,0.00,0.33,0.01,0.00,0.00,0.24,1.25,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.58,1.21,0.78,0.00,0.00,0.00,0.00,1.02,0.00,0.40,0.86,0.65,0.44,1
0.57,0.01,0.33,0.01,0.00,0.00,0.24,2.59,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,2.64,2.18,0.75,0.67,0.00,0.02,0.00,2.51,0.00,0.40,0.86,0.77,0.00,1
0.22,0.25,0.33,0.01,0.00,0.00,0.24,0.40,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.22,0.16,0.33,0.35,0.70,0.00,0.00,0.34,0.09,0.39,0.09,0.40,0.85,0.89,0.33,1
0.22,0.01,0.33,0.01,0.00,0.00,0.24,0.42,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.45,0.35,0.65,0.00,0.00,0.02,0.00,0.39,0.00,0.40,0.85,0.54,0.44,1
0.30,0.01,0.33,0.01,0.00,0.00,0.24,0.90,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.85,0.78,0.65,0.33,0.00,0.02,0.00,0.91,0.00,0.40,0.85,0.56,0.44,1
0.50,0.01,0.33,0.01,0.00,0.00,0.24,2.18,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,2.64,1.74,0.72,0.67,0.00,0.02,0.00,2.10,0.00,0.40,0.86,0.95,0.00,1
0.22,0.01,0.33,0.01,0.00,0.00,0.24,0.43,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.52,0.34,0.65,0.00,0.00,0.02,0.00,0.40,0.00,0.40,0.85,0.89,0.44,1
0.23,0.15,0.33,0.01,0.00,0.00,0.24,0.47,0.00,0.00,0.19,0.00,0.00,0.00,0.40,0.19,0.22,0.30,0.44,0.72,0.33,0.00,0.40,0.09,0.46,0.09,0.40,0.86,0.89,0.33,1
0.30,0.01,0.33,0.01,0.00,0.00,0.24,0.96,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.94,0.81,0.68,0.33,0.00,0.02,0.00,0.94,0.00,0.40,0.85,0.57,0.44,1
0.51,0.01,0.33,0.01,0.00,0.00,0.24,2.25,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,2.67,1.80,0.70,0.67,0.00,0.02,0.00,2.17,0.00,0.40,0.86,0.03,0.00,1
0.21,0.01,0.33,0.01,0.00,0.00,0.24,0.35,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.45,0.27,0.68,0.00,0.00,0.02,0.00,0.32,0.00,0.40,0.85,0.89,0.44,1
0.22,0.27,0.33,0.01,0.00,0.00,0.24,0.43,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.34,0.13,0.52,0.35,0.70,0.00,0.00,0.34,0.11,0.43,0.11,0.40,0.85,0.59,0.44,1
0.43,0.01,0.33,0.07,0.00,0.00,0.22,1.11,0.42,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,1.03,0.95,0.75,0.33,0.00,0.02,0.00,1.09,0.00,0.40,0.86,0.50,0.44,1
0.32,0.01,0.33,0.01,0.00,0.00,0.24,1.03,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,1.24,0.82,0.60,0.00,0.00,0.02,0.00,1.04,0.00,0.40,0.85,0.72,0.44,1
0.23,0.01,0.33,0.01,0.00,0.00,0.24,0.47,0.00,0.00,0.19,0.00,0.00,0.00,0.20,0.03,0.00,0.70,0.35,0.68,0.00,0.00,0.02,0.00,0.45,0.00,0.40,0.85,0.89,0.44,1
0.23,0.15,0.33,0.01,0.00,0.00,0.24,0.50,0.00,0.00,0.19,0.00,0.00,0.00,0.40,0.31,0.18,0.48,0.43,0.68,0.33,0.00,0.40,0.11,0.50,0.11,0.40,0.86,0.89,0.44,1
